VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBS        FBS_BCL FBS_BCU FSS        FSS_BCL FSS_BCU AFSS     AFSS_BCL AFSS_BCU UFSS    UFSS_BCL UFSS_BCU F_RATE     F_RATE_BCL F_RATE_BCU O_RATE     O_RATE_BCL O_RATE_BCU
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       NA         0.1   NBRCNT    49484 0.21607         NA      NA  0.82141        NA      NA  0.94876       NA       NA 0.77205       NA       NA 0.75469            NA         NA 0.5441             NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       NA         0.05  NBRCNT    49484 0.21607         NA      NA  0.82141        NA      NA  0.94876       NA       NA 0.77205       NA       NA 0.75469            NA         NA 0.5441             NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       NA         0.1   NBRCNT    20761 0.24897         NA      NA  0.76734        NA      NA  0.92033       NA       NA 0.7353        NA       NA 0.71133            NA         NA 0.47059            NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       NA         0.05  NBRCNT    20761 0.24897         NA      NA  0.76734        NA      NA  0.92033       NA       NA 0.7353        NA       NA 0.71133            NA         NA 0.47059            NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       NA         0.1   NBRCNT    49484 0.18885         NA      NA  0.78155        NA      NA  0.94851       NA       NA 0.70134       NA       NA 0.55901            NA         NA 0.40268            NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       NA         0.05  NBRCNT    49484 0.18885         NA      NA  0.78155        NA      NA  0.94851       NA       NA 0.70134       NA       NA 0.55901            NA         NA 0.40268            NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       NA         0.1   NBRCNT    20761 0.2101          NA      NA  0.7115         NA      NA  0.89783       NA       NA 0.66078       NA       NA 0.51587            NA         NA 0.32156            NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       NA         0.05  NBRCNT    20761 0.2101          NA      NA  0.7115         NA      NA  0.89783       NA       NA 0.66078       NA       NA 0.51587            NA         NA 0.32156            NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       NA         0.1   NBRCNT    49484 0.15154         NA      NA  0.66508        NA      NA  0.94031       NA       NA 0.61054       NA       NA 0.31513            NA         NA 0.22108            NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       NA         0.05  NBRCNT    49484 0.15154         NA      NA  0.66508        NA      NA  0.94031       NA       NA 0.61054       NA       NA 0.31513            NA         NA 0.22108            NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >5.0        >5.0       NA         0.1   NBRCNT    20761 0.13524         NA      NA  0.61321        NA      NA  0.87721       NA       NA 0.57979       NA       NA 0.26925            NA         NA 0.15958            NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >5.0        >5.0       NA         0.05  NBRCNT    20761 0.13524         NA      NA  0.61321        NA      NA  0.87721       NA       NA 0.57979       NA       NA 0.26925            NA         NA 0.15958            NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >10.0       >10.0      NA         0.1   NBRCNT    49484 0.10254         NA      NA  0.61158        NA      NA  0.9677        NA       NA 0.57093       NA       NA 0.18355            NA         NA 0.14186            NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >10.0       >10.0      NA         0.05  NBRCNT    49484 0.10254         NA      NA  0.61158        NA      NA  0.9677        NA       NA 0.57093       NA       NA 0.18355            NA         NA 0.14186            NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >10.0       >10.0      NA         0.1   NBRCNT    20761 0.088837        NA      NA  0.50094        NA      NA  0.90936       NA       NA 0.54655       NA       NA 0.14498            NA         NA 0.093107           NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >10.0       >10.0      NA         0.05  NBRCNT    20761 0.088837        NA      NA  0.50094        NA      NA  0.90936       NA       NA 0.54655       NA       NA 0.14498            NA         NA 0.093107           NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >25.0       >25.0      NA         0.1   NBRCNT    49484 0.046019        NA      NA  0.50198        NA      NA  0.9974        NA       NA 0.53077       NA       NA 0.057251           NA         NA 0.061535           NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >25.0       >25.0      NA         0.05  NBRCNT    49484 0.046019        NA      NA  0.50198        NA      NA  0.9974        NA       NA 0.53077       NA       NA 0.057251           NA         NA 0.061535           NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >25.0       >25.0      NA         0.1   NBRCNT    20761 0.03209         NA      NA  0.20051        NA      NA  0.99999       NA       NA 0.51597       NA       NA 0.03179            NA         NA 0.031935           NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >25.0       >25.0      NA         0.05  NBRCNT    20761 0.03209         NA      NA  0.20051        NA      NA  0.99999       NA       NA 0.51597       NA       NA 0.03179            NA         NA 0.031935           NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >50.0       >50.0      NA         0.1   NBRCNT    49484 0.01897         NA      NA  0.14517        NA      NA  0.98285       NA       NA 0.50914       NA       NA 0.015177           NA         NA 0.018289           NA         NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >50.0       >50.0      NA         0.05  NBRCNT    49484 0.01897         NA      NA  0.14517        NA      NA  0.98285       NA       NA 0.50914       NA       NA 0.015177           NA         NA 0.018289           NA         NA
