VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      VALUE_BASER N_PNT CL_1 VALUE_1    CL_2 VALUE_2    CL_3 VALUE_3   CL_4 VALUE_4     CL_5 VALUE_5   CL_6 VALUE_6   CL_7 VALUE_7   CL_8 VALUE_8   CL_9 VALUE_9   CL_10 VALUE_10   CL_11 VALUE_11 CL_12 VALUE_12  CL_13 VALUE_13  CL_14 VALUE_14 CL_15 VALUE_15 CL_16 VALUE_16 CL_17 VALUE_17 CL_18 VALUE_18 CL_19 VALUE_19
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >0.1        >0.1       NA         NA    ECLV      20795 0.47107     0.31508       19 0.05 -1.52968    0.1 -0.49777   0.15 -0.1538    0.2  0.018183   0.25  0.12137   0.3  0.19017  0.35  0.23931   0.4  0.27616  0.45  0.30483    0.5  0.2452     0.55  0.10322   0.6 -0.074265  0.65 -0.30246    0.7 -0.60671  0.75 -1.03267   0.8 -1.6716   0.85 -2.73649   0.9 -4.86627  0.95 -11.25561
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >1.0        >1.0       NA         NA    ECLV      20795 0.32224     0.44535       19 0.05 -1.00887    0.1 -0.14822   0.15  0.13866   0.2  0.28211    0.25  0.36817   0.3  0.42555  0.35  0.39583   0.4  0.29508  0.45  0.17601    0.5  0.033129   0.55 -0.1415    0.6 -0.3598    0.65 -0.64046    0.7 -1.01467  0.75 -1.53858   0.8 -2.32443  0.85 -3.63418   0.9 -6.25369  0.95 -14.11222
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >5.0        >5.0       NA         NA    ECLV      20795 0.16047     0.48139       19 0.05 -0.43424    0.1  0.23078   0.15  0.45246   0.2  0.42883    0.25  0.35441   0.3  0.26936  0.35  0.17123   0.4  0.056738 0.45 -0.078568   0.5 -0.24093    0.55 -0.43938   0.6 -0.68744   0.65 -1.00638    0.7 -1.43163  0.75 -2.02697   0.8 -2.91999  0.85 -4.40835   0.9 -7.38508  0.95 -16.31525
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >10.0       >10.0      NA         NA    ECLV      20795 0.094013    0.38321       19 0.05 -0.12123    0.1  0.3763    0.15  0.31482   0.2  0.24565    0.25  0.16726   0.3  0.077676 0.35 -0.025693  0.4 -0.14629  0.45 -0.28882    0.5 -0.45985    0.55 -0.66888   0.6 -0.93018   0.65 -1.26613    0.7 -1.71407  0.75 -2.34118   0.8 -3.28184  0.85 -4.84962   0.9 -7.98517  0.95 -17.39182
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >25.0       >25.0      NA         NA    ECLV      20795 0.032412    0.14514       19 0.05  0.13228    0.1  0.092977  0.15  0.049049  0.2 -0.00037092 0.25 -0.05638   0.3 -0.12039  0.35 -0.19425   0.4 -0.28042  0.45 -0.38225    0.5 -0.50445    0.55 -0.65381   0.6 -0.8405    0.65 -1.08054    0.7 -1.40059  0.75 -1.84866   0.8 -2.52077  0.85 -3.64095   0.9 -5.88131  0.95 -12.60237
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >50.0       >50.0      NA         NA    ECLV      20795 0.0083674   0.10454       19 0.05  0.080157   0.1  0.047893  0.15  0.011832  0.2 -0.028736   0.25 -0.074713  0.3 -0.12726  0.35 -0.18789   0.4 -0.25862  0.45 -0.34222    0.5 -0.44253    0.55 -0.56513   0.6 -0.71839   0.65 -0.91544    0.7 -1.17816  0.75 -1.54598   0.8 -2.0977   0.85 -3.01724   0.9 -4.85632  0.95 -10.37356
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >75.0       >75.0      NA         NA    ECLV      20795 0.0023563   0.080042      19 0.05  0.046187   0.1  0.0068027 0.15 -0.037215  0.2 -0.086735   0.25 -0.14286   0.3 -0.207    0.35 -0.281     0.4 -0.36735  0.45 -0.46939    0.5 -0.59184    0.55 -0.7415    0.6 -0.92857   0.65 -1.1691     0.7 -1.4898   0.75 -1.93878   0.8 -2.61224  0.85 -3.73469   0.9 -5.97959  0.95 -12.71429
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >100.0      >100.0     NA         NA    ECLV      20795 0.00072133 -0.00072185    19 0.05 -0.052632   0.1 -0.11111   0.15 -0.17647   0.2 -0.25       0.25 -0.33333   0.3 -0.42857  0.35 -0.53846   0.4 -0.66667  0.45 -0.81818    0.5 -1          0.55 -1.22222   0.6 -1.5       0.65 -1.85714    0.7 -2.33333  0.75 -3         0.8 -4        0.85 -5.66667   0.9 -9        0.95 -19
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >150.0      >150.0     NA         NA    ECLV      20795 4.8088e-05  0             19 0.05  0          0.1  0         0.15  0         0.2  0          0.25  0         0.3  0        0.35  0         0.4  0        0.45  0          0.5  0          0.55  0         0.6  0         0.65  0          0.7  0        0.75  0         0.8  0        0.85  0         0.9  0        0.95   0
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >200.0      >200.0     NA         NA    ECLV      20795 0          NA             19 0.05 NA          0.1 NA         0.15 NA         0.2 NA          0.25 NA         0.3 NA        0.35 NA         0.4 NA        0.45 NA          0.5 NA          0.55 NA         0.6 NA         0.65 NA          0.7 NA        0.75 NA         0.8 NA        0.85 NA         0.9 NA        0.95  NA
