VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBS        FBS_BCL FBS_BCU FSS        FSS_BCL FSS_BCU AFSS    AFSS_BCL AFSS_BCU UFSS    UFSS_BCL UFSS_BCU F_RATE     F_RATE_BCL F_RATE_BCU O_RATE     O_RATE_BCL O_RATE_BCU
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >10.0       >10.0      NA         0.05  NBRCNT    20761 0.11211         NA      NA 0.40449         NA      NA 0.88154       NA       NA 0.54655       NA       NA 0.15548            NA         NA 0.093107           NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >25.0       >25.0      NA         0.1   NBRCNT    49484 0.053494        NA      NA 0.44529         NA      NA 0.99988       NA       NA 0.53077       NA       NA 0.060605           NA         NA 0.061535           NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >25.0       >25.0      NA         0.05  NBRCNT    49484 0.053494        NA      NA 0.44529         NA      NA 0.99988       NA       NA 0.53077       NA       NA 0.060605           NA         NA 0.061535           NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >25.0       >25.0      NA         0.1   NBRCNT    20761 0.041113        NA      NA 0.1989          NA      NA 0.95599       NA       NA 0.51597       NA       NA 0.043206           NA         NA 0.031935           NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >25.0       >25.0      NA         0.05  NBRCNT    20761 0.041113        NA      NA 0.1989          NA      NA 0.95599       NA       NA 0.51597       NA       NA 0.043206           NA         NA 0.031935           NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >50.0       >50.0      NA         0.1   NBRCNT    49484 0.020393        NA      NA 0.11108         NA      NA 0.99229       NA       NA 0.50914       NA       NA 0.016147           NA         NA 0.018289           NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >50.0       >50.0      NA         0.05  NBRCNT    49484 0.020393        NA      NA 0.11108         NA      NA 0.99229       NA       NA 0.50914       NA       NA 0.016147           NA         NA 0.018289           NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >50.0       >50.0      NA         0.1   NBRCNT    20761 0.011844        NA      NA 0.070642        NA      NA 0.88723       NA       NA 0.50409       NA       NA 0.013487           NA         NA 0.0081884          NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >50.0       >50.0      NA         0.05  NBRCNT    20761 0.011844        NA      NA 0.070642        NA      NA 0.88723       NA       NA 0.50409       NA       NA 0.013487           NA         NA 0.0081884          NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >75.0       >75.0      NA         0.1   NBRCNT    49484 0.005           NA      NA 0.0083131       NA      NA 0.99954       NA       NA 0.5023        NA       NA 0.004749           NA         NA 0.0046075          NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >75.0       >75.0      NA         0.05  NBRCNT    49484 0.005           NA      NA 0.0083131       NA      NA 0.99954       NA       NA 0.5023        NA       NA 0.004749           NA         NA 0.0046075          NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >75.0       >75.0      NA         0.1   NBRCNT    20761 0.0040877       NA      NA 0.023857        NA      NA 0.68762       NA       NA 0.50118       NA       NA 0.0059246          NA         NA 0.0023602          NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >75.0       >75.0      NA         0.05  NBRCNT    20761 0.0040877       NA      NA 0.023857        NA      NA 0.68762       NA       NA 0.50118       NA       NA 0.0059246          NA         NA 0.0023602          NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >100.0      >100.0     NA         0.1   NBRCNT    49484 0.0013073       NA      NA 0.00038153      NA      NA 0.9769        NA       NA 0.50083       NA       NA 0.0013338          NA         NA 0.0016571          NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >100.0      >100.0     NA         0.05  NBRCNT    49484 0.0013073       NA      NA 0.00038153      NA      NA 0.9769        NA       NA 0.50083       NA       NA 0.0013338          NA         NA 0.0016571          NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >100.0      >100.0     NA         0.1   NBRCNT    20761 0.00096216      NA      NA 0.0012346       NA      NA 0.61083       NA       NA 0.50036       NA       NA 0.0021194          NA         NA 0.00072251         NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >100.0      >100.0     NA         0.05  NBRCNT    20761 0.00096216      NA      NA 0.0012346       NA      NA 0.61083       NA       NA 0.50036       NA       NA 0.0021194          NA         NA 0.00072251         NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >150.0      >150.0     NA         0.1   NBRCNT    49484 9.3059e-05      NA      NA 0               NA      NA 0.68966       NA       NA 0.50006       NA       NA 0.00030313         NA         NA 0.00012125         NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >150.0      >150.0     NA         0.05  NBRCNT    49484 9.3059e-05      NA      NA 0               NA      NA 0.68966       NA       NA 0.50006       NA       NA 0.00030313         NA         NA 0.00012125         NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >150.0      >150.0     NA         0.1   NBRCNT    20761 0.00014272      NA      NA 0               NA      NA 0.15294       NA       NA 0.50002       NA       NA 0.00062617         NA         NA 4.8167e-05         NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >150.0      >150.0     NA         0.05  NBRCNT    20761 0.00014272      NA      NA 0               NA      NA 0.15294       NA       NA 0.50002       NA       NA 0.00062617         NA         NA 4.8167e-05         NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >200.0      >200.0     NA         0.1   NBRCNT    49484 8.9816e-06      NA      NA 0               NA      NA 0             NA       NA 0.5           NA       NA 8.0834e-05         NA         NA 0                  NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >200.0      >200.0     NA         0.05  NBRCNT    49484 8.9816e-06      NA      NA 0               NA      NA 0             NA       NA 0.5           NA       NA 8.0834e-05         NA         NA 0                  NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >200.0      >200.0     NA         0.1   NBRCNT    20761 1.6056e-05      NA      NA 0               NA      NA 0             NA       NA 0.5           NA       NA 0.0001445          NA         NA 0                  NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >200.0      >200.0     NA         0.05  NBRCNT    20761 1.6056e-05      NA      NA 0               NA      NA 0             NA       NA 0.5           NA       NA 0.0001445          NA         NA 0                  NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 25          >0.1        >0.1       NA         0.1   NBRCNT    48576 0.19621         NA      NA 0.83258         NA      NA 0.95067       NA       NA 0.7731        NA       NA 0.75276            NA         NA 0.5462             NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 25          >0.1        >0.1       NA         0.05  NBRCNT    48576 0.19621         NA      NA 0.83258         NA      NA 0.95067       NA       NA 0.7731        NA       NA 0.75276            NA         NA 0.5462             NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 25          >0.1        >0.1       NA         0.1   NBRCNT    20726 0.22046         NA      NA 0.78987         NA      NA 0.91086       NA       NA 0.73504       NA       NA 0.72908            NA         NA 0.47009            NA         NA
