VERSION MODEL N_VALID GRID_RES DESC      FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE          OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH   WIDTH    AREA AREA_THRESH CURVATURE CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_50   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F001       CF001  195.69124   80.66359     35.2909     119.04781   7.93668 29.82685  8.45181  178         142 298.18147   362.77482   -46.31244   0.12745      18.08642     32.851       54.73858     79.68758     98.16923       54.73858    9951.72572      NA            NA               NA         NA         NA                      NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F002       CF002  136.55      67.23333     31.93333    104.2625   59.32094  9.94168  7.20115   44          25 171.54903   195.45928   119.98384   0.083333      9.70688     18.96642     26.62281     55.22116    123.90951       26.62281    1971.96699      NA            NA               NA         NA         NA                      NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F003       CF002  131         58.67857     29.79464    102.875    90        5        4         18          15 160.72899   193.07945    95.70926   0.052632     20.27219     26.74261     31.11456     58.44976     84.96407       31.11456     784.70219      NA            NA               NA         NA         NA                      NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F004       CF000   97.88333   53.73333     28.55833     94.59583  39.22998 10.76613  6.68717   42          30 125.80942   139.72496    93.70629   0.15152      16.94943     22.91274     31.24104     55.33461     87.52807       31.24104    1799.36061      NA            NA               NA         NA         NA                      NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F005       CF003  108.12353   46.96471     26.86618     97.15588   0.7436  17.06346 12.12877  140         107 132.54417   167.15275    59.50622   0.13846      20.17906     26.52054     37.0412      56.56561     74.90338       37.0412     5916.77035      NA            NA               NA         NA         NA                      NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F006       CF000   62.87879   49.87879     27.5947      85.8447  -26.86735 11.63211  2.71156   16           8  91.47484   105.09257    61.36421   0.37255      17.16969     18.82576     31.17341     44.61685     52.86822       31.17341     537.94735      NA            NA               NA         NA         NA                      NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F007       CF000   79.30928   45.69072     26.54768     89.95232  -5.9973  18.31941  6.85721   70          56 111.35062   140.78771    31.01935   0.20904      19.30131     26.47616     35.26739     51.24786     73.10268       35.26739    3020.68717      NA            NA               NA         NA         NA                      NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F008       CF000  118.89773   35.85227     24.08807     99.84943   0.20265 12.01407  8.01763   64          60 141.74599   186.53342    27.02826   0.21951      25.44334     28.50035     31.51344     35.2442      40.08087       31.51344    2087.39325      NA            NA               NA         NA         NA                      NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O001       CO000  214.15825  120.99327     45.37332    123.66456  23.49966 27.59191 21.01288  243         183 275.93238   330.91009   164.90429   0.3278       17.655       25.17708     38.11667     53.56528     70.78334       38.11667   10153.88696      NA            NA               NA         NA         NA                      NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O002       CO001  203.41237   78.17526     34.66881    120.97809 -16.33014 13.20292  9.08312   76          60 247.3307    320.31991    77.87019   0.078788     17.80556     29.02761     43.31007     67.02916     93.3075        43.31007    3631.39795      NA            NA               NA         NA         NA                      NA         NA             NA              NA                NA                         NA       NA
