VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBS        FBS_BCL FBS_BCU FSS        FSS_BCL FSS_BCU AFSS     AFSS_BCL AFSS_BCU UFSS    UFSS_BCL UFSS_BCU F_RATE     F_RATE_BCL F_RATE_BCU O_RATE     O_RATE_BCL O_RATE_BCU
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       NA         0.1   NBRCNT    49484 0.23005         NA      NA  0.80942        NA      NA  0.94937       NA       NA 0.77205       NA       NA 0.75315            NA         NA 0.5441             NA         NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       NA         0.05  NBRCNT    49484 0.23005         NA      NA  0.80942        NA      NA  0.94937       NA       NA 0.77205       NA       NA 0.75315            NA         NA 0.5441             NA         NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       NA         0.1   NBRCNT    20761 0.25935         NA      NA  0.76073        NA      NA  0.91435       NA       NA 0.7353        NA       NA 0.72309            NA         NA 0.47059            NA         NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       NA         0.05  NBRCNT    20761 0.25935         NA      NA  0.76073        NA      NA  0.91435       NA       NA 0.7353        NA       NA 0.72309            NA         NA 0.47059            NA         NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       NA         0.1   NBRCNT    49484 0.20005         NA      NA  0.76421        NA      NA  0.95622       NA       NA 0.70134       NA       NA 0.54436            NA         NA 0.40268            NA         NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       NA         0.05  NBRCNT    49484 0.20005         NA      NA  0.76421        NA      NA  0.95622       NA       NA 0.70134       NA       NA 0.54436            NA         NA 0.40268            NA         NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       NA         0.1   NBRCNT    20761 0.2221          NA      NA  0.69966        NA      NA  0.88972       NA       NA 0.66078       NA       NA 0.52642            NA         NA 0.32156            NA         NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       NA         0.05  NBRCNT    20761 0.2221          NA      NA  0.69966        NA      NA  0.88972       NA       NA 0.66078       NA       NA 0.52642            NA         NA 0.32156            NA         NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       NA         0.1   NBRCNT    49484 0.16107         NA      NA  0.63612        NA      NA  0.9504        NA       NA 0.61054       NA       NA 0.30497            NA         NA 0.22108            NA         NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       NA         0.05  NBRCNT    49484 0.16107         NA      NA  0.63612        NA      NA  0.9504        NA       NA 0.61054       NA       NA 0.30497            NA         NA 0.22108            NA         NA
