VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FY_OY FY_ON FN_OY FN_ON
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         NA    CTC        2519   939   821    84   675
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         NA    CTC        2519   669   688    87  1075
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         NA    CTC        2519   349   477   126  1567
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         NA    CTC        2519   157   306   152  1904
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         NA    CTC        2519    30   114    64  2311
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         NA    CTC        2519     6    62    18  2433
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         NA    CTC        2519     1    18     8  2492
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         NA    CTC        2519     0     6     5  2508
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         NA    CTC        2519   940   830    83   666
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         NA    CTC        2519   672   691    84  1072
