VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      BASER_NCL   BASER_NCU  BASER_BCL BASER_BCU FMEAN      FMEAN_NCL  FMEAN_NCU  FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS    FBIAS_BCL FBIAS_BCU PODY      PODY_NCL    PODY_NCU    PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL   POFD_NCU   POFD_BCL POFD_BCU FAR     FAR_NCL FAR_NCU FAR_BCL FAR_BCU CSI      CSI_NCL     CSI_NCU    CSI_BCL CSI_BCU GSS         GSS_BCL GSS_BCU HK          HK_NCL     HK_NCU     HK_BCL HK_BCU HSS         HSS_BCL HSS_BCU ODDS     ODDS_NCL ODDS_NCU ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL   EDS_NCU  EDS_BCL EDS_BCU SEDS     SEDS_NCL  SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL   EDI_NCU  EDI_BCL EDI_BCU SEDI     SEDI_NCL  SEDI_NCU SEDI_BCL SEDI_BCU BAGSS      BAGSS_BCL BAGSS_BCU
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >50.0       >50.0      NA         0.1   CTS       50400 0.018234    0.017279   0.019241          NA        NA 0.015873   0.014983   0.016815          NA        NA 0.96792 0.9666  0.96918      NA      NA  0.87051        NA        NA  0.055495  0.053841    0.057197         NA       NA 0.98486  0.98394  0.98573       NA       NA 0.015137   0.014268   0.016058         NA       NA 0.93625 0.93444 0.93802      NA      NA 0.030576  0.029339   0.031862        NA      NA  0.022023        NA      NA  0.040358    0.027771   0.052945      NA     NA  0.043096        NA      NA  3.82281  2.9933   4.88221       NA       NA  1.34099   1.09638   1.5856         NA        NA  0.5853   0.5049   0.66571       NA       NA  0.1614   0.1237    0.1991       NA      NA  0.18151  0.14316   0.21986       NA       NA  0.18344  0.14452   0.22236      NA      NA  0.18743  0.14327   0.22361       NA       NA  0.024016         NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >50.0       >50.0      NA         0.05  CTS       50400 0.018234    0.017102   0.019439          NA        NA 0.015873   0.014818   0.017002          NA        NA 0.96792 0.96634 0.96942      NA      NA  0.87051        NA        NA  0.055495  0.05353     0.057528         NA       NA 0.98486  0.98376  0.98589       NA       NA 0.015137   0.014108   0.016241         NA       NA 0.93625 0.93408 0.93835      NA      NA 0.030576  0.029108   0.032115        NA      NA  0.022023        NA      NA  0.040358    0.025335   0.055381      NA     NA  0.043096        NA      NA  3.82281  2.85626  5.11644       NA       NA  1.34099   1.04951   1.63246        NA        NA  0.5853   0.48949  0.68111       NA       NA  0.1614   0.11648   0.20632      NA      NA  0.18151  0.13581   0.22721       NA       NA  0.18344  0.13706   0.22982      NA      NA  0.18743  0.13557   0.23131       NA       NA  0.024016         NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >75.0       >75.0      NA         0.1   CTS       50400 0.0045437   0.0040768  0.0050637         NA        NA 0.0046627  0.0041895  0.0051891         NA        NA 0.99079 0.99007 0.99147      NA      NA  1.0262         NA        NA  0         0           5.3679e-05       NA       NA 0.99532  0.99479  0.99579       NA       NA 0.004684   0.0042096  0.0052115        NA       NA 1       0.99995 1            NA      NA 0         0          5.3679e-05      NA      NA -0.0023065       NA      NA -0.004684   -0.010522   0.0011544     NA     NA -0.0046237       NA      NA  0       NA       NA             NA       NA NA        NA        NA              NA        NA -1       NA       NA             NA       NA NA       NA        NA            NA      NA NA       NA        NA             NA       NA NA       NA        NA            NA      NA NA       NA        NA             NA       NA NA                NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >75.0       >75.0      NA         0.05  CTS       50400 0.0045437   0.0039931  0.0051697         NA        NA 0.0046627  0.0041045  0.0052964         NA        NA 0.99079 0.98992 0.99159      NA      NA  1.0262         NA        NA  0        -6.7757e-21  7.6214e-05       NA       NA 0.99532  0.99468  0.99588       NA       NA 0.004684   0.0041245  0.005319         NA       NA 1       0.99992 1            NA      NA 0        -6.7757e-21 7.6214e-05      NA      NA -0.0023065       NA      NA -0.004684   -0.012933   0.0035652     NA     NA -0.0046237       NA      NA  0       NA       NA             NA       NA NA        NA        NA              NA        NA -1       NA       NA             NA       NA NA       NA        NA            NA      NA NA       NA        NA             NA       NA NA       NA        NA            NA      NA NA       NA        NA             NA       NA NA                NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >100.0      >100.0     NA         0.1   CTS       50400 0.001627    0.0013572  0.0019502         NA        NA 0.0013095  0.00107    0.0016026         NA        NA 0.99706 0.99664 0.99743      NA      NA  0.80488        NA        NA  0         0           5.3679e-05       NA       NA 0.99869  0.9984   0.99893       NA       NA 0.0013117  0.0010719  0.0016049        NA       NA 1       0.99995 1            NA      NA 0         0          5.3679e-05      NA      NA -0.00072607      NA      NA -0.0013117  -0.017282   0.014659      NA     NA -0.0014532       NA      NA  0       NA       NA             NA       NA NA        NA        NA              NA        NA -1       NA       NA             NA       NA NA       NA        NA            NA      NA NA       NA        NA             NA       NA NA       NA        NA            NA      NA NA       NA        NA             NA       NA NA                NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >100.0      >100.0     NA         0.05  CTS       50400 0.001627    0.0013111  0.0020189         NA        NA 0.0013095  0.0010295  0.0016655         NA        NA 0.99706 0.99655 0.9975       NA      NA  0.80488        NA        NA  0        -6.7757e-21  7.6214e-05       NA       NA 0.99869  0.99833  0.99897       NA       NA 0.0013117  0.0010314  0.0016679        NA       NA 1       0.99992 1            NA      NA 0        -6.7757e-21 7.6214e-05      NA      NA -0.00072607      NA      NA -0.0013117  -0.023687   0.021064      NA     NA -0.0014532       NA      NA  0       NA       NA             NA       NA NA        NA        NA              NA        NA -1       NA       NA             NA       NA NA       NA        NA            NA      NA NA       NA        NA             NA       NA NA       NA        NA            NA      NA NA       NA        NA             NA       NA NA                NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >150.0      >150.0     NA         0.1   CTS       50400 0.00011905  6.1562e-05 0.0002302         NA        NA 0.00029762 0.00019525 0.00045363        NA        NA 0.99958 0.9994  0.99971      NA      NA  2.5            NA        NA  0         0           5.3679e-05       NA       NA 0.9997   0.99955  0.9998        NA       NA 0.00029765 0.00019528 0.00045368       NA       NA 1       0.99995 1            NA      NA 0         0          5.3679e-05      NA      NA -8.5041e-05      NA      NA -0.00029765 -0.15569    0.15509       NA     NA -0.0001701       NA      NA  0       NA       NA             NA       NA NA        NA        NA              NA        NA -1       NA       NA             NA       NA NA       NA        NA            NA      NA NA       NA        NA             NA       NA NA       NA        NA            NA      NA NA       NA        NA             NA       NA NA                NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >150.0      >150.0     NA         0.05  CTS       50400 0.00011905  5.4562e-05 0.00025973        NA        NA 0.00029762 0.00018038 0.00049103        NA        NA 0.99958 0.99936 0.99973      NA      NA  2.5            NA        NA  0        -6.7757e-21  7.6214e-05       NA       NA 0.9997   0.99951  0.99982       NA       NA 0.00029765 0.0001804  0.00049107       NA       NA 1       0.99992 1            NA      NA 0        -6.7757e-21 7.6214e-05      NA      NA -8.5041e-05      NA      NA -0.00029765 -0.19546    0.19487       NA     NA -0.0001701       NA      NA  0       NA       NA             NA       NA NA        NA        NA              NA        NA -1       NA       NA             NA       NA NA       NA        NA            NA      NA NA       NA        NA             NA       NA NA       NA        NA            NA      NA NA       NA        NA             NA       NA NA                NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >200.0      >200.0     NA         0.1   CTS       50400 0           0          5.3679e-05        NA        NA 7.9365e-05 3.5631e-05 0.00017677        NA        NA 0.99992 0.99982 0.99996      NA      NA NA              NA        NA NA        NA          NA                NA       NA 0.99992  0.99982  0.99996       NA       NA 7.9365e-05 3.5631e-05 0.00017677       NA       NA 1       0.99995 1            NA      NA 0         0          5.3679e-05      NA      NA  0               NA      NA NA          NA         NA             NA     NA  0               NA      NA NA       NA       NA             NA       NA NA        NA        NA              NA        NA NA       NA       NA             NA       NA NA       NA        NA            NA      NA NA       NA        NA             NA       NA NA       NA        NA            NA      NA NA       NA        NA             NA       NA NA                NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >200.0      >200.0     NA         0.05  CTS       50400 0          -6.7757e-21 7.6214e-05        NA        NA 7.9365e-05 3.0864e-05 0.00020407        NA        NA 0.99992 0.9998  0.99997      NA      NA NA              NA        NA NA        NA          NA                NA       NA 0.99992  0.9998   0.99997       NA       NA 7.9365e-05 3.0864e-05 0.00020407       NA       NA 1       0.99992 1            NA      NA 0        -6.7757e-21 7.6214e-05      NA      NA  0               NA      NA NA          NA         NA             NA     NA  0               NA      NA NA       NA       NA             NA       NA NA        NA        NA              NA        NA NA       NA       NA             NA       NA NA       NA        NA            NA      NA NA       NA        NA             NA       NA NA       NA        NA            NA      NA NA       NA        NA             NA       NA NA                NA        NA
