VERSION MODEL N_VALID GRID_RES DESC      FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE          OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH   WIDTH    AREA AREA_THRESH CURVATURE CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_50   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F001       CF004  213.89103  130.40385     47.72596    123.59776 -52.13439 22.62787  9.0334   119          81 280.45093   327.09573   185.52814    0.26087     12.43365     14.2895      16.94833     20.98017     25.17905       16.94833    2131.84105      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F002       CF000  214.66667   96.09524     39.14881    123.79167  71.58392  5.69168  4.11106   11           6 265.79601   306.21056   179.44472    0.26667     14.25582     16.96879     22.95397     32.88239     33.559         22.95397     192.2235       NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F003       CF001  194.82407   81.24074     35.43519    118.83102  10.48709 37.03678 11.10706  275         213 281.20024   351.20557   -18.58326    0.10423      8.6406      17.95892     34.46572     58.45035     79.84842       34.46572   10934.74185      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F004       CF003  136.47899   66.78151     31.82038    104.24475  52.72756 27.80212 11.55616  195         141 189.48634   168.36269   175.1286     0.19588      8.34075     13.93124     21.42898     35.21819     44.52155       21.42898    5048.29232      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F005       CF005  117.13951   37.98676     24.62169     99.40988 -37.86585 57.80004 30.1711   878         608 142.36872   186.16061    28.80027    0.28763     10.53433     14.27449     18.86799     26.36254     40.74691       18.86799   20371.90631      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F006       CF000   75.15306   47.68367     27.04592     88.91327 -11.58449 36.49598  8.8411   146         122 106.60617   132.67342    41.14745    0.32407     13.33046     16.73931     23.28184     32.69831     43.10182       23.28184    3827.68265      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F007       CF002  156.52143   27.05        21.8875     109.25536  11.24664 19.6103  12.75036  106          76 177.85119   234.02705    46.03601    0.32698     11.32302     14.82279     19.89789     24.78965     28.4528        19.89789    2056.04974      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O001       CO004  214.14979  121.27848     45.44462    123.66245  16.4535  32.45358 26.80862  413         317 276.62854   333.89033   160.22629    0.20653      8.60847     15.54167     25.0125      41.45833     61.27778       25.0125    12900.77797      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O002       CO001  186.19149   75.44894     33.98723    116.67287   9.28028 47.33309 12.85582  398         314 311.32292   360.65565   -85.51615    0.29682     11.18563     16.40625     25.34792     37.61042     49.53562       25.34792   11559.65916      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O003       CO003  135.34118   59.96471     30.11618    103.96029  62.72725 10.31827  9.40182   65          37 165.80952   199.50522    98.03238    0.11565      1.7775       5.3375      17.9         45.825       89.32792       17.9        2123.3778       NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O004       CO005   98.74468   46.81915     26.82979     94.81117   3.9588  14.24275  6.9833    72          48 130.10519   167.23117    30.24199    0.12195      3.78187      8.08177     18.66979     30.04167     54.915         18.66979    1650.88269      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O005       CO002  151.93548   23.64516     21.03629    108.10887  -7.18265 27.53021 14.64033  194         116 184.25241   238.32091   -28.98863    0.35441      5.85444     10.76667     18.1         31.025       50.23778       18.1        4521.42158      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O006       CO000  191.40789    3.64474     16.03618    117.97697  -4.75571 19.0175  10.46302  120          95 216.45629   287.87316   -25.70775    0.21824      9.74        16.69792     27.57083     38.69219     48.21305       27.57083    3343.23058      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F001_O001 CF004_CO004   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA           NA           NA           NA           NA           NA             NA            NA             9.12903       0                0         68.58788   0.28814                 57        475            418               0.47899           0.79171                    0.67759  0.87339
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F002_O001 CF000_CO004   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA           NA           NA           NA           NA           NA             NA            NA            25.18855      10               10         55.13043   0.026634                 0        424            424               0                 0.7745                     0.9177   0.37262
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F002_O002 CF000_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA           NA           NA           NA           NA           NA             NA            NA            35.17251      11.18034         11.18034   62.30365   0.027638                 0        409            409               0                 0.89841                    0.90556  0.34473
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F003_O001 CF001_CO004   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA           NA           NA           NA           NA           NA             NA            NA            44.45789      20.02498         20.02498    5.9664    0.66586                  0        688            688               0                 0.50469                    0.72572  0.26245
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F003_O002 CF001_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA           NA           NA           NA           NA           NA             NA            NA            10.3955        0                0          1.20682   0.69095                126        547            421               0.45818           0.35117                    0.73545  0.95841
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F004_O002 CF003_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA           NA           NA           NA           NA           NA             NA            NA            50.46243      16               16         43.44729   0.48995                  0        593            593               0                 0.65992                    0.84539  0.31997
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F004_O003 CF003_CO003   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA           NA           NA           NA           NA           NA             NA            NA             6.91111       0                0          9.99969   0.33333                 40        220            180               0.61538           0.5904                     0.83532  0.92068
V7.0    EC    20796   15       EC_CMORPH 480000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F004_O004 CF003_CO005   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA           NA           NA           NA           NA           NA             NA            NA            42.68927      23.08679         23.08463   48.76876   0.36923                  0        267            267               0                 0.62259                    0.87124  0.17273
