VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     VALUE_BASER N_PNT CL_1 VALUE_1    CL_2 VALUE_2   CL_3 VALUE_3   CL_4 VALUE_4   CL_5 VALUE_5   CL_6 VALUE_6   CL_7 VALUE_7  CL_8 VALUE_8   CL_9 VALUE_9   CL_10 VALUE_10   CL_11 VALUE_11  CL_12 VALUE_12  CL_13 VALUE_13 CL_14 VALUE_14 CL_15 VALUE_15 CL_16 VALUE_16 CL_17 VALUE_17 CL_18 VALUE_18 CL_19 VALUE_19
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=5.0       >=5.0      NA         NA    ECLV       2519 0.18857    0.58823       19 0.05 -0.20988    0.1  0.33317  0.15  0.51419   0.2  0.57474  0.25  0.51088   0.3  0.43789  0.35  0.35368  0.4  0.25544  0.45  0.13933    0.5  0          0.55 -0.17029    0.6 -0.38316   0.65 -0.65684   0.7 -1.02175  0.75 -1.53263   0.8 -2.29895  0.85 -3.57614   0.9 -6.13053  0.95 -13.79368
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=10.0      >=10.0     NA         NA    ECLV       2519 0.12267    0.47295       19 0.05 -0.22398    0.1  0.36425  0.15  0.44508   0.2  0.38916  0.25  0.32578   0.3  0.25335  0.35  0.16978  0.4  0.072276 0.45 -0.042954   0.5 -0.18123    0.55 -0.35023    0.6 -0.56149   0.65 -0.8331    0.7 -1.19525  0.75 -1.70227   0.8 -2.46278  0.85 -3.73031   0.9 -6.26537  0.95 -13.87055
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=25.0      >=25.0     NA         NA    ECLV       2519 0.037316   0.1867        19 0.05  0.17357    0.1  0.1182   0.15  0.05632   0.2 -0.013298 0.25 -0.092199  0.3 -0.18237  0.35 -0.28642  0.4 -0.4078   0.45 -0.55126    0.5 -0.7234     0.55 -0.93381    0.6 -1.19681   0.65 -1.53495   0.7 -1.98582  0.75 -2.61702   0.8 -3.56383  0.85 -5.14184   0.9 -8.29787  0.95 -17.76596
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=50.0      >=50.0     NA         NA    ECLV       2519 0.0095276  0.031647      19 0.05 -0.013158   0.1 -0.074074 0.15 -0.14216   0.2 -0.21875  0.25 -0.30556   0.3 -0.40476  0.35 -0.51923  0.4 -0.65278  0.45 -0.81061    0.5 -1          0.55 -1.23148    0.6 -1.52083   0.65 -1.89286   0.7 -2.38889  0.75 -3.08333   0.8 -4.125    0.85 -5.86111   0.9 -9.33333  0.95 -19.75
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=75.0      >=75.0     NA         NA    ECLV       2519 0.0035728 -0.0023904     19 0.05 -0.035088   0.1 -0.074074 0.15 -0.11765   0.2 -0.16667  0.25 -0.22222   0.3 -0.28571  0.35 -0.35897  0.4 -0.44444  0.45 -0.54545    0.5 -0.66667    0.55 -0.81481    0.6 -1         0.65 -1.2381    0.7 -1.55556  0.75 -2         0.8 -2.66667  0.85 -3.77778   0.9 -6        0.95 -12.66667
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=100.0     >=100.0    NA         NA    ECLV       2519 0.0019849 -0.00039777    19 0.05 -0.010526   0.1 -0.022222 0.15 -0.035294  0.2 -0.05     0.25 -0.066667  0.3 -0.085714 0.35 -0.10769  0.4 -0.13333  0.45 -0.16364    0.5 -0.2        0.55 -0.24444    0.6 -0.3       0.65 -0.37143   0.7 -0.46667  0.75 -0.6       0.8 -0.8      0.85 -1.13333   0.9 -1.8      0.95  -3.8
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=0.1       >=0.1      NA         NA    ECLV       2519 0.40611    0.46434       19 0.05 -0.20388    0.1  0.17714  0.15  0.30414   0.2  0.36765  0.25  0.40575   0.3  0.43115  0.35  0.44929  0.4  0.4629   0.45  0.37003    0.5  0.24242    0.55  0.086456   0.6 -0.1085    0.65 -0.35917   0.7 -0.69339  0.75 -1.16129   0.8 -1.86315  0.85 -3.03291   0.9 -5.37243  0.95 -12.39101
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=1         >=1        NA         NA    ECLV       2519 0.30012    0.61511       19 0.05 -0.084515   0.1  0.33522  0.15  0.47514   0.2  0.54509  0.25  0.58707   0.3  0.61505  0.35  0.54172  0.4  0.45591  0.45  0.3545     0.5  0.2328     0.55  0.084068   0.6 -0.10185   0.65 -0.34089   0.7 -0.65961  0.75 -1.10582   0.8 -1.77513  0.85 -2.89065   0.9 -5.12169  0.95 -11.81481
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=5.0       >=5.0      NA         NA    ECLV       2519 0.18857    0.59391       19 0.05 -0.18982    0.1  0.34344  0.15  0.5212    0.2  0.58053  0.25  0.51719   0.3  0.44481  0.35  0.3613   0.4  0.26386  0.45  0.14871    0.5  0.010526   0.55 -0.15836    0.6 -0.36947   0.65 -0.6409    0.7 -1.00281  0.75 -1.50947   0.8 -2.26947  0.85 -3.53614   0.9 -6.06947  0.95 -13.66947
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=10.0      >=10.0     NA         NA    ECLV       2519 0.12267    0.48078       19 0.05 -0.20543    0.1  0.37376  0.15  0.45326   0.2  0.39806  0.25  0.33549   0.3  0.26399  0.35  0.18148  0.4  0.085221 0.45 -0.028538   0.5 -0.16505    0.55 -0.3319     0.6 -0.54045   0.65 -0.8086    0.7 -1.16613  0.75 -1.66667   0.8 -2.41748  0.85 -3.66882   0.9 -6.17152  0.95 -13.67961
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=25.0      >=25.0     NA         NA    ECLV       2519 0.037316   0.19775       19 0.05  0.18477    0.1  0.13002  0.15  0.068836  0.2  0        0.25 -0.078014  0.3 -0.16717  0.35 -0.27005  0.4 -0.39007  0.45 -0.53191    0.5 -0.70213    0.55 -0.91017    0.6 -1.17021   0.65 -1.50456   0.7 -1.95035  0.75 -2.57447   0.8 -3.51064  0.85 -5.07092   0.9 -8.19149  0.95 -17.55319
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=50.0      >=50.0     NA         NA    ECLV       2519 0.0095276  0.032448      19 0.05 -0.0087719  0.1 -0.064815 0.15 -0.12745   0.2 -0.19792  0.25 -0.27778   0.3 -0.36905  0.35 -0.47436  0.4 -0.59722  0.45 -0.74242    0.5 -0.91667    0.55 -1.12963    0.6 -1.39583   0.65 -1.7381    0.7 -2.19444  0.75 -2.83333   0.8 -3.79167  0.85 -5.38889   0.9 -8.58333  0.95 -18.16667
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=75.0      >=75.0     NA         NA    ECLV       2519 0.0035728 -0.0027888     19 0.05 -0.040936   0.1 -0.08642  0.15 -0.13725   0.2 -0.19444  0.25 -0.25926   0.3 -0.33333  0.35 -0.4188   0.4 -0.51852  0.45 -0.63636    0.5 -0.77778    0.55 -0.95062    0.6 -1.16667   0.65 -1.44444   0.7 -1.81481  0.75 -2.33333   0.8 -3.11111  0.85 -4.40741   0.9 -7        0.95 -14.77778
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=100.0     >=100.0    NA         NA    ECLV       2519 0.0019849  0             19 0.05  0          0.1  0        0.15  0         0.2  0        0.25  0         0.3  0        0.35  0        0.4  0        0.45  0          0.5  0          0.55  0          0.6  0         0.65  0         0.7  0        0.75  0         0.8  0        0.85  0         0.9  0        0.95   0
