VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     VALUE_BASER N_PNT CL_1 VALUE_1   CL_2 VALUE_2   CL_3 VALUE_3   CL_4 VALUE_4    CL_5 VALUE_5   CL_6 VALUE_6   CL_7 VALUE_7  CL_8 VALUE_8   CL_9 VALUE_9   CL_10 VALUE_10    CL_11 VALUE_11  CL_12 VALUE_12  CL_13 VALUE_13 CL_14 VALUE_14 CL_15 VALUE_15 CL_16 VALUE_16 CL_17 VALUE_17 CL_18 VALUE_18  CL_19 VALUE_19
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=5.0       >=5.0      NA         NA    ECLV       2519 0.18857    0.56316       19 0.05 -0.33562   0.1  0.27593  0.15  0.47978   0.2  0.55      0.25  0.48772   0.3  0.41654  0.35  0.33441  0.4  0.2386   0.45  0.12536    0.5 -0.010526    0.55 -0.17661    0.6 -0.38421   0.65 -0.65113   0.7 -1.00702  0.75 -1.50526   0.8 -2.25263  0.85 -3.49825   0.9  -5.98947  0.95 -13.46316
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=10.0      >=10.0     NA         NA    ECLV       2519 0.12267    0.39424       19 0.05 -0.44208   0.1  0.2638   0.15  0.36779   0.2  0.31472   0.25  0.25458   0.3  0.18585  0.35  0.10655  0.4  0.014024 0.45 -0.095322   0.5 -0.22654     0.55 -0.38691    0.6 -0.58738   0.65 -0.84512   0.7 -1.18878  0.75 -1.6699    0.8 -2.39159  0.85 -3.59439   0.9  -6        0.95 -13.21683
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=25.0      >=25.0     NA         NA    ECLV       2519 0.037316   0.13153       19 0.05  0.1215    0.1  0.079196 0.15  0.031915  0.2 -0.021277  0.25 -0.08156   0.3 -0.15046  0.35 -0.22995  0.4 -0.3227   0.45 -0.4323     0.5 -0.56383     0.55 -0.72459    0.6 -0.92553   0.65 -1.18389   0.7 -1.52837  0.75 -2.01064   0.8 -2.73404  0.85 -3.93972   0.9  -6.35106  0.95 -13.58511
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=50.0      >=50.0     NA         NA    ECLV       2519 0.0095276  0.031647      19 0.05 -0.013158  0.1 -0.074074 0.15 -0.14216   0.2 -0.21875   0.25 -0.30556   0.3 -0.40476  0.35 -0.51923  0.4 -0.65278  0.45 -0.81061    0.5 -1           0.55 -1.23148    0.6 -1.52083   0.65 -1.89286   0.7 -2.38889  0.75 -3.08333   0.8 -4.125    0.85 -5.86111   0.9  -9.33333  0.95 -19.75
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=75.0      >=75.0     NA         NA    ECLV       2519 0.0035728 -0.0047809     19 0.05 -0.070175  0.1 -0.14815  0.15 -0.23529   0.2 -0.33333   0.25 -0.44444   0.3 -0.57143  0.35 -0.71795  0.4 -0.88889  0.45 -1.09091    0.5 -1.33333     0.55 -1.62963    0.6 -2         0.65 -2.47619   0.7 -3.11111  0.75 -4         0.8 -5.33333  0.85 -7.55556   0.9 -12        0.95 -25.33333
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=100.0     >=100.0    NA         NA    ECLV       2519 0.0019849 -0.00039777    19 0.05 -0.010526  0.1 -0.022222 0.15 -0.035294  0.2 -0.05      0.25 -0.066667  0.3 -0.085714 0.35 -0.10769  0.4 -0.13333  0.45 -0.16364    0.5 -0.2         0.55 -0.24444    0.6 -0.3       0.65 -0.37143   0.7 -0.46667  0.75 -0.6       0.8 -0.8      0.85 -1.13333   0.9  -1.8      0.95  -3.8
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=0.1       >=0.1      NA         NA    ECLV       2519 0.40611    0.45934       19 0.05 -0.37299   0.1  0.1016   0.15  0.2598    0.2  0.3389    0.25  0.38636   0.3  0.418    0.35  0.4406   0.4  0.45755  0.45  0.36675    0.5  0.24145     0.55  0.088302   0.6 -0.10313   0.65 -0.34925   0.7 -0.67742  0.75 -1.13685   0.8 -1.826    0.85 -2.97458   0.9  -5.27175  0.95 -12.16325
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=1         >=1        NA         NA    ECLV       2519 0.30012    0.60339       19 0.05 -0.17187   0.1  0.29325  0.15  0.44829   0.2  0.52581   0.25  0.57232   0.3  0.60333  0.35  0.52971  0.4  0.44356  0.45  0.34175    0.5  0.21958     0.55  0.070253   0.6 -0.1164    0.65 -0.35639   0.7 -0.67637  0.75 -1.12434   0.8 -1.7963   0.85 -2.91623   0.9  -5.15608  0.95 -11.87566
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=5.0       >=5.0      NA         NA    ECLV       2519 0.18857    0.56718       19 0.05 -0.30284   0.1  0.28914  0.15  0.48646   0.2  0.55368   0.25  0.48982   0.3  0.41684  0.35  0.33263  0.4  0.23439  0.45  0.11828    0.5 -0.021053    0.55 -0.19135    0.6 -0.40421   0.65 -0.67789   0.7 -1.04281  0.75 -1.55368   0.8 -2.32     0.85 -3.59719   0.9  -6.15158  0.95 -13.81474
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=10.0      >=10.0     NA         NA    ECLV       2519 0.12267    0.41133       19 0.05 -0.39819   0.1  0.28507  0.15  0.38511   0.2  0.33252   0.25  0.27292   0.3  0.20481  0.35  0.12621  0.4  0.03452  0.45 -0.073845   0.5 -0.20388     0.55 -0.36282    0.6 -0.56149   0.65 -0.81692   0.7 -1.1575   0.75 -1.6343    0.8 -2.34951  0.85 -3.54153   0.9  -5.92557  0.95 -13.07767
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=25.0      >=25.0     NA         NA    ECLV       2519 0.037316   0.16262       19 0.05  0.1523    0.1  0.10875  0.15  0.060075  0.2  0.0053191 0.25 -0.056738  0.3 -0.12766  0.35 -0.20949  0.4 -0.30496  0.45 -0.41779    0.5 -0.55319     0.55 -0.71868    0.6 -0.92553   0.65 -1.19149   0.7 -1.5461   0.75 -2.04255   0.8 -2.78723  0.85 -4.02837   0.9  -6.51064  0.95 -13.95745
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=50.0      >=50.0     NA         NA    ECLV       2519 0.0095276  0.030845      19 0.05 -0.017544  0.1 -0.083333 0.15 -0.15686   0.2 -0.23958   0.25 -0.33333   0.3 -0.44048  0.35 -0.5641   0.4 -0.70833  0.45 -0.87879    0.5 -1.08333     0.55 -1.33333    0.6 -1.64583   0.65 -2.04762   0.7 -2.58333  0.75 -3.33333   0.8 -4.45833  0.85 -6.33333   0.9 -10.08333  0.95 -21.33333
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=75.0      >=75.0     NA         NA    ECLV       2519 0.0035728 -0.0059761     19 0.05 -0.087719  0.1 -0.18519  0.15 -0.29412   0.2 -0.41667   0.25 -0.55556   0.3 -0.71429  0.35 -0.89744  0.4 -1.11111  0.45 -1.36364    0.5 -1.66667     0.55 -2.03704    0.6 -2.5       0.65 -3.09524   0.7 -3.88889  0.75 -5         0.8 -6.66667  0.85 -9.44444   0.9 -15        0.95 -31.66667
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=100.0     >=100.0    NA         NA    ECLV       2519 0.0019849 -0.0011933     19 0.05 -0.031579  0.1 -0.066667 0.15 -0.10588   0.2 -0.15      0.25 -0.2       0.3 -0.25714  0.35 -0.32308  0.4 -0.4      0.45 -0.49091    0.5 -0.6         0.55 -0.73333    0.6 -0.9       0.65 -1.11429   0.7 -1.4      0.75 -1.8       0.8 -2.4      0.85 -3.4       0.9  -5.4      0.95 -11.4
