VERSION MODEL N_VALID GRID_RES DESC      FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE          OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH    WIDTH    AREA AREA_THRESH CURVATURE CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_50   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V7.0    EC    20795   15       EC_CMORPH 360000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F001       CF000  203.44118  146.17647     51.66912    120.98529  38.90273   7.33149  5.14707   18          12 280.22509   300.3195    226.04115   0.36842       7.24756      8.93075     10.54939     11.63635     13.22333       10.54939     190.2918       NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20795   15       EC_CMORPH 360000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F002       CF003  216.52878  129.03838     47.38459    124.2572  -42.23381  35.8498  20.98373  405         337 283.24619   338.01607   171.85602   0.2562        8.77053     10.83866     14.00484     17.06122     19.83107       14.00484    5763.03142      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20795   15       EC_CMORPH 360000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F003       CF000  259.48718  134.23077     48.68269    134.99679 -13.58111  11.63171  3.62058   23          21 354.4565    452.46953    79.1465    0.23333      10.64328     12.57926     13.28485     14.26602     16.62091       13.28485     308.38357      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20795   15       EC_CMORPH 360000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F004       CF000  215.30657   98.0438      39.63595    123.95164  22.47014  23.38735  9.68584  103          80 266.76259   336.95725   116.75208   0.3064        6.83238     10.92887     19.02309     28.4436      39.93526       19.02309    2097.66794      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20795   15       EC_CMORPH 360000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F005       CF002  194.43255   79.94861     35.11215    118.73314  10.5197   41.70114 15.5201   408         341 254.52263   328.80035    30.81613   0.12352       7.18286     13.16932     20.82166     31.31614     52.32525       20.82166   10204.295        NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20795   15       EC_CMORPH 360000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F006       CF004  121.33835   43.29806     25.94951    100.45959 -10.62026 110.94176 62.22822 1811        1385 150.93638   195.02571    41.11307   0.52937       6.8703      10.38314     15.30835     22.43557     32.98826       15.30835   34030.88146      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20795   15       EC_CMORPH 360000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F007       CF001  191.96429    3.49286     15.99821    118.11607  -3.26931  18.02773  9.44159  109          95 215.88554   288.48547   -16.42228   0.18657       9.41024     10.99546     12.21513     13.7288      15.27614       12.21513    1372.82567      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20795   15       EC_CMORPH 360000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O001       CO003  214.02799  122.31571     45.70393    123.632     2.85649  35.8556  30.56074  569         439 277.23142   334.20173   161.2664    0.19061       6.12521     10.58611     20.60695     34.625       54.77778       20.60695   14678.64744      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20795   15       EC_CMORPH 360000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O002       CO000  245.37209  128.86047     47.34012    131.46802  10.20284   7.24357  6.25939   29          22 310.13657   373.89745   182.21332   0.14706       3.95        12.2         19.98889     28.31667     31.04667       19.98889     542.81459      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20795   15       EC_CMORPH 360000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O003       CO002  184.77288   75.45932     33.98983    116.31822   8.06896  50.21436 14.56322  514         425 289.79539   347.44841   -56.65736   0.23512       7.29222     12.42292     20.99028     32.7526      45.66896       20.99028   12797.86821      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
