VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBS        FBS_BCL FBS_BCU FSS      FSS_BCL FSS_BCU AFSS    AFSS_BCL AFSS_BCU UFSS    UFSS_BCL UFSS_BCU F_RATE     F_RATE_BCL F_RATE_BCU O_RATE     O_RATE_BCL O_RATE_BCU
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >10.0       >10.0      NA         0.05  NBRCNT    20761 0.10771         NA      NA 0.41074       NA      NA 0.89936       NA       NA 0.54655       NA       NA 0.14879            NA         NA 0.093107           NA         NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >25.0       >25.0      NA         0.1   NBRCNT    49484 0.052888        NA      NA 0.43212       NA      NA 0.99755       NA       NA 0.53077       NA       NA 0.057372           NA         NA 0.061535           NA         NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >25.0       >25.0      NA         0.05  NBRCNT    49484 0.052888        NA      NA 0.43212       NA      NA 0.99755       NA       NA 0.53077       NA       NA 0.057372           NA         NA 0.061535           NA         NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >25.0       >25.0      NA         0.1   NBRCNT    20761 0.041273        NA      NA 0.15708       NA      NA 0.97424       NA       NA 0.51597       NA       NA 0.040171           NA         NA 0.031935           NA         NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >25.0       >25.0      NA         0.05  NBRCNT    20761 0.041273        NA      NA 0.15708       NA      NA 0.97424       NA       NA 0.51597       NA       NA 0.040171           NA         NA 0.031935           NA         NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >50.0       >50.0      NA         0.1   NBRCNT    49484 0.019592        NA      NA 0.13688       NA      NA 0.9915        NA       NA 0.50914       NA       NA 0.016046           NA         NA 0.018289           NA         NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >50.0       >50.0      NA         0.05  NBRCNT    49484 0.019592        NA      NA 0.13688       NA      NA 0.9915        NA       NA 0.50914       NA       NA 0.016046           NA         NA 0.018289           NA         NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >50.0       >50.0      NA         0.1   NBRCNT    20761 0.013022        NA      NA 0.062342      NA      NA 0.85786       NA       NA 0.50409       NA       NA 0.01445            NA         NA 0.0081884          NA         NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >50.0       >50.0      NA         0.05  NBRCNT    20761 0.013022        NA      NA 0.062342      NA      NA 0.85786       NA       NA 0.50409       NA       NA 0.01445            NA         NA 0.0081884          NA         NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >75.0       >75.0      NA         0.1   NBRCNT    49484 0.0044496       NA      NA 0.02397       NA      NA 0.99385       NA       NA 0.5023        NA       NA 0.0041225          NA         NA 0.0046075          NA         NA
