VERSION MODEL N_VALID GRID_RES DESC      FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE          OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH   WIDTH    AREA AREA_THRESH CURVATURE CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_50   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F001       CF000  259.95385  132.90769     48.35192    135.11346 -15.59045 11.93908  6.048     47          42 338.11794   430.0372    120.98205   0.11321      14.95572     16.24151     19.45288     22.31455     24.42455       19.45288     914.33782      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F002       CF006  214.83333  113.42593     43.48148    123.83333 -29.17208  8.93501  7.1887    38          35 272.36982   331.57202   152.53863   0.14607      16.85383     19.74741     22.30583     25.82529     27.46198       22.30583     851.76954      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F003       CF000  215.38095   98.77143     39.81786    123.97024  20.31362 17.6785   7.95328   78          58 269.27274   343.05123   104.83703   0.23529      12.77148     16.7059      29.23843     39.52125     46.14104       29.23843    2151.66101      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F004       CF001  191.92386   81.13452     35.40863    118.10596  10.53376 44.90382 11.52147  336         233 303.459     363.831     -56.63405   0.11927       6.03289     11.84594     31.5768      60.57365     96.04485       31.5768    13656.28144      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F005       CF004  135.17647   62.83765     30.83441    103.91912  54.38718 43.13256 14.07373  358         261 194.75852   161.32127   184.8269    0.22174      10.28706     14.44651     19.55186     30.62794     48.90204       19.55186    9222.76485      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F006       CF005   93.25723   48.90032     27.35008     93.43931  -2.09801 68.17407 16.76895  518         372 135.5884    170.85642    18.21479   0.38112       9.34761     14.28025     20.34885     32.20144     50.68585       20.34885   13821.70232      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F007       CF000  113.7027    33.13514     23.40878     98.55068  85.42789  7.13715  5.0638    24          14 132.90005   167.5377     60.18312   0.15789      10.73602     12.33913     16.07635     23.53703     26.53497       16.07635     434.98989      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F008       CF000  123.22222   34.5         23.75       100.93056   0        4        3         10           5 143.3219    187.08306    43.78043   0.090909     13.73089     14.23394     15.55845     18.25559     19.08297       15.55845     160.84216      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F009       CF002  144.72043   27.02151     21.88038    106.30511 -30.47818 13.89234  8.41621   71          46 168.65147   223.83349     4.80916   0.095541     10.08893     12.65871     21.49513     30.2237      36.82718       21.49513    1476.15627      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F010       CF000  123.67969   25.39062     21.47266    101.04492  16.97134 17.34647 11.02398  100          63 141.61821   183.82771    47.1317    0.17355      10.66702     13.70656     17.16282     23.79605     38.14835       17.16282    2112.44348      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F011       CF003  197.63158    1.81579     15.57895    119.53289  16.64346  8.52409  5.36336   24          20 225.85227   296.05143    49.28786   0.15789      13.68241     16.12349     17.79147     21.49014     37.39392       17.79147     502.49075      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O001       CO006  214.14979  121.27848     45.44462    123.66245  16.4535  32.45358 26.80862  413         317 276.62854   333.89033   160.22629   0.20653       8.60847     15.54167     25.0125      41.45833     61.27778       25.0125    12900.77797      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O002       CO001  186.19149   75.44894     33.98723    116.67287   9.28028 47.33309 12.85582  398         314 311.32292   360.65565   -85.51615   0.29682      11.18563     16.40625     25.34792     37.61042     49.53562       25.34792   11559.65916      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O003       CO004  135.34118   59.96471     30.11618    103.96029  62.72725 10.31827  9.40182   65          37 165.80952   199.50522    98.03238   0.11565       1.7775       5.3375      17.9         45.825       89.32792       17.9        2123.3778       NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O004       CO005   98.74468   46.81915     26.82979     94.81117   3.9588  14.24275  6.9833    72          48 130.10519   167.23117    30.24199   0.12195       3.78187      8.08177     18.66979     30.04167     54.915         18.66979    1650.88269      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    4        >=15     4       >=15    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O005       CO002  151.93548   23.64516     21.03629    108.10887  -7.18265 27.53021 14.64033  194         116 184.25241   238.32091   -28.98863   0.35441       5.85444     10.76667     18.1         31.025       50.23778       18.1        4521.42158      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
