VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      VALUE_BASER N_PNT CL_1 VALUE_1   CL_2 VALUE_2    CL_3 VALUE_3   CL_4 VALUE_4   CL_5 VALUE_5    CL_6 VALUE_6   CL_7 VALUE_7    CL_8 VALUE_8   CL_9 VALUE_9   CL_10 VALUE_10   CL_11 VALUE_11   CL_12 VALUE_12   CL_13 VALUE_13   CL_14 VALUE_14  CL_15 VALUE_15  CL_16 VALUE_16  CL_17 VALUE_17  CL_18 VALUE_18   CL_19 VALUE_19
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >0.1        >0.1       NA         NA    ECLV      20796 0.4711      0.28313       19 0.05 -1.72907   0.1 -0.60351   0.15 -0.22832   0.2 -0.040731 0.25  0.071825   0.3  0.14686  0.35  0.20046    0.4  0.24066  0.45  0.27192    0.5   0.21068   0.55   0.063353   0.6  -0.1208    0.65  -0.35757    0.7  -0.67327  0.75  -1.11524   0.8  -1.7782   0.85  -2.88313   0.9   -5.09299  0.95  -11.72257
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >1.0        >1.0       NA         NA    ECLV      20796 0.32227     0.37105       19 0.05 -1.25223   0.1 -0.29154   0.15  0.028688  0.2  0.1888   0.25  0.28487    0.3  0.34892  0.35  0.31454    0.4  0.19944  0.45  0.063414   0.5  -0.099821  0.55  -0.29933    0.6  -0.54872   0.65  -0.86936    0.7  -1.29688  0.75  -1.8954    0.8  -2.7932   0.85  -4.28952   0.9   -7.28215  0.95  -16.26007
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >5.0        >5.0       NA         NA    ECLV      20796 0.16051     0.4022        19 0.05 -0.6003    0.1  0.12774   0.15  0.37041   0.2  0.33546  0.25  0.24086    0.3  0.13276  0.35  0.0080195  0.4 -0.13751  0.45 -0.30949    0.5  -0.51588   0.55  -0.76812    0.6  -1.08343   0.65  -1.48883    0.7  -2.02936  0.75  -2.7861    0.8  -3.92121  0.85  -5.81306   0.9   -9.59676  0.95  -20.94787
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >10.0       >10.0      NA         NA    ECLV      20796 0.094057    0.27907       19 0.05 -0.30271   0.1  0.27045   0.15  0.19316   0.2  0.10621  0.25  0.0076687  0.3 -0.10495  0.35 -0.2349     0.4 -0.3865   0.45 -0.56567    0.5  -0.78067   0.55  -1.04346    0.6  -1.37193   0.65  -1.79426    0.7  -2.35736  0.75  -3.14571   0.8  -4.32822  0.85  -6.29908   0.9  -10.2408   0.95  -22.06595
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >25.0       >25.0      NA         NA    ECLV      20796 0.032458    0.084058      19 0.05  0.062768  0.1 -0.0024691 0.15 -0.075381  0.2 -0.15741  0.25 -0.25037    0.3 -0.35661  0.35 -0.4792     0.4 -0.62222  0.45 -0.79125    0.5  -0.99407   0.55  -1.24198    0.6  -1.55185   0.65  -1.95026    0.7  -2.48148  0.75  -3.22519   0.8  -4.34074  0.85  -6.2       0.9   -9.91852  0.95  -21.07407
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >50.0       >50.0      NA         NA    ECLV      20796 0.008367    0.031817      19 0.05 -0.042347  0.1 -0.14049   0.15 -0.25017   0.2 -0.37356  0.25 -0.51341    0.3 -0.67323  0.35 -0.85765    0.4 -1.0728   0.45 -1.32706    0.5  -1.63218   0.55  -2.00511    0.6  -2.47126   0.65  -3.07061    0.7  -3.86973  0.75  -4.98851   0.8  -6.66667  0.85  -9.4636    0.9  -15.05747  0.95  -31.83908
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >75.0       >75.0      NA         NA    ECLV      20796 0.0023562   0.036237      19 0.05 -0.061224  0.1 -0.1746    0.15 -0.30132   0.2 -0.44388  0.25 -0.60544    0.3 -0.79009  0.35 -1.00314    0.4 -1.2517   0.45 -1.54545    0.5  -1.89796   0.55  -2.3288     0.6  -2.86735   0.65  -3.55977    0.7  -4.48299  0.75  -5.77551   0.8  -7.71429  0.85 -10.94558   0.9  -17.40816  0.95  -36.79592
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >100.0      >100.0     NA         NA    ECLV      20796 0.00072129  0.065367      19 0.05 -0.02807   0.1 -0.13333   0.15 -0.25098   0.2 -0.38333  0.25 -0.53333    0.3 -0.70476  0.35 -0.90256    0.4 -1.13333  0.45 -1.40606    0.5  -1.73333   0.55  -2.13333    0.6  -2.63333   0.65  -3.27619    0.7  -4.13333  0.75  -5.33333   0.8  -7.13333  0.85 -10.13333   0.9  -16.13333  0.95  -34.13333
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >150.0      >150.0     NA         NA    ECLV      20796 4.8086e-05 -0.00057706    19 0.05 -0.63158   0.1 -1.33333   0.15 -2.11765   0.2 -3        0.25 -4          0.3 -5.14286  0.35 -6.46154    0.4 -8        0.45 -9.81818    0.5 -12         0.55 -14.66667    0.6 -18         0.65 -22.28571    0.7 -28        0.75 -36         0.8 -48        0.85 -68         0.9 -108        0.95 -228
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >200.0      >200.0     NA         NA    ECLV      20796 0          NA             19 0.05 NA         0.1 NA         0.15 NA         0.2 NA        0.25 NA          0.3 NA        0.35 NA          0.4 NA        0.45 NA          0.5  NA         0.55  NA          0.6  NA         0.65  NA          0.7  NA        0.75  NA         0.8  NA        0.85  NA         0.9   NA        0.95   NA
