VERSION MODEL N_VALID GRID_RES DESC      FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE          OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH    WIDTH    AREA AREA_THRESH CURVATURE CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_50   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F001       CF003  210.37259  132.31409     48.20352    122.71815 -32.93111  57.13099 30.70243 1193        1001 281.92959   338.77296   162.92676   0.18567       4.13016      6.17857      8.43551     11.70415     16.2647         8.43551   11227.1546       NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F002       CF000  231.21429  146.21429     51.67857    127.92857 -54.08298   6.39579  4.77605   17          17 305.89502   348.9312    216.00728   0.15          6.23928      6.68918      7.47817      8.8764       9.99928        7.47817     131.88646      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F003       CF003  257.2233   130.34951     47.71238    134.43083 -16.34904  20.20215 12.19285  173         125 331.5725    420.72746   126.88006   0.10363       3.05569      4.84582      7.57892     11.51353     14.92633        7.57892    1446.50808      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F004       CF002  138.20976   53.57869     28.51967    104.67744  16.15069 187.7387  80.57192 4126        3312 175.84655   217.7078     82.84986   0.49427       3.44759      5.90722     10.25475     17.8965      27.35849       10.25475   57524.07184      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F005       CF000  203.24444   23.93333     21.10833    120.93611  37.03226  10.19599  4.78978   28          24 244.09386   294.96717   120.25559   0.18841       5.21619      5.60459      6.43493      7.82959      8.28545        6.43493     170.98838      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F006       CF001  190.01425    7.43875     16.98469    117.62856  16.27764  24.64288 19.68206  310         293 213.28616   284.75283    24.57721   0.054878      5.66424      6.89007      9.09857     11.34697     12.90529        9.09857    2852.01546      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O001       CO003  217.12209  123.98043     46.12011    124.40552   3.21932  54.63241 36.84172  973         685 288.92965   360.99631   125.78705   0.27604       1.315        4.39167     11.575       24.525       43.05111       11.575     16956.29054      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O002       CO000   43.47458  126.40678     46.72669     80.99364  47.80826  10.62851  6.46025   42          35 151.62862    89.08963   181.46375   0.11579       4.06063      5.98958      8.27812     13.42083     15.40833        8.27812     392.67778      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O003       CO002  183.57126   75.71378     34.05345    116.01782   6.81124  56.79075 18.70315  764         545 265.74165   331.37722   -19.54491   0.17938       1.25         4.51771     13.06667     25.90556     41.83125       13.06667   13730.09114      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O004       CO000   92.70513   77.0641      34.39103     93.30128  21.04815   9.83612  9.62115   60          34 134.88859   140.74294   113.69276   0.076923      1.8525       3.49167      6.16667     12.15781     16.605          6.16667     495.32462      NA            NA               NA         NA        NA                       NA         NA             NA              NA                NA                         NA       NA
