VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      BASER_NCL  BASER_NCU  BASER_BCL BASER_BCU FMEAN      FMEAN_NCL  FMEAN_NCU  FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS    FBIAS_BCL FBIAS_BCU PODY      PODY_NCL  PODY_NCU    PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL   POFD_NCU   POFD_BCL POFD_BCU FAR      FAR_NCL  FAR_NCU  FAR_BCL FAR_BCU CSI       CSI_NCL   CSI_NCU     CSI_BCL CSI_BCU GSS         GSS_BCL GSS_BCU HK          HK_NCL      HK_NCU    HK_BCL HK_BCU HSS         HSS_BCL HSS_BCU ODDS     ODDS_NCL ODDS_NCU  ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL   EDS_NCU  EDS_BCL EDS_BCU SEDS     SEDS_NCL SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL  EDI_NCU  EDI_BCL EDI_BCU SEDI     SEDI_NCL SEDI_NCU SEDI_BCL SEDI_BCU BAGSS     BAGSS_BCL BAGSS_BCU
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >50.0       >50.0      NA         0.1   CTS       50399 0.018234   0.01728    0.019241          NA        NA 0.01633    0.015427   0.017285          NA        NA 0.97151 0.97026 0.9727       NA      NA  0.89554        NA        NA  0.16649   0.16377   0.16923          NA       NA 0.98646  0.98559  0.98728       NA       NA 0.013541   0.01272    0.014414         NA       NA  0.81409  0.81123  0.81693      NA      NA  0.096287  0.094147  0.09847         NA      NA  0.087671        NA      NA  0.15294     0.13255     0.17334      NA     NA  0.16121         NA      NA 14.55113 12.41097  17.06034       NA       NA  2.67767   2.51858   2.83676        NA        NA  0.87139  0.85225  0.89054       NA       NA  0.38149  0.35256   0.41042      NA      NA  0.40052  0.37119  0.42985       NA       NA  0.41169  0.38123  0.44215      NA      NA  0.42566  0.37967  0.44371       NA       NA  0.09282         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >50.0       >50.0      NA         0.05  CTS       50399 0.018234   0.017103   0.01944           NA        NA 0.01633    0.015259   0.017474          NA        NA 0.97151 0.97002 0.97292      NA      NA  0.89554        NA        NA  0.16649   0.16326   0.16976          NA       NA 0.98646  0.98541  0.98743       NA       NA 0.013541   0.012568   0.014588         NA       NA  0.81409  0.81067  0.81747      NA      NA  0.096287  0.093742  0.098893        NA      NA  0.087671        NA      NA  0.15294     0.12865     0.17724      NA     NA  0.16121         NA      NA 14.55113 12.03843  17.58829       NA       NA  2.67767   2.4881    2.86723        NA        NA  0.87139  0.84858  0.8942        NA       NA  0.38149  0.34701   0.41596      NA      NA  0.40052  0.36557  0.43547       NA       NA  0.41169  0.37539  0.44798      NA      NA  0.42566  0.37354  0.44984       NA       NA  0.09282         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >75.0       >75.0      NA         0.1   CTS       50399 0.0045437  0.0040769  0.0050638         NA        NA 0.0027977  0.0024365  0.0032123         NA        NA 0.9929  0.99225 0.99349      NA      NA  0.61572        NA        NA  0.026201  0.025056  0.027397         NA       NA 0.99731  0.9969   0.99766       NA       NA 0.0026909  0.0023371  0.003098         NA       NA  0.95745  0.95594  0.9589       NA      NA  0.016484  0.015576  0.017443        NA      NA  0.014749        NA      NA  0.02351     0.0053467   0.041673     NA     NA  0.02907         NA      NA  9.9721   4.97637  19.983         NA       NA  2.29979   1.6047    2.99488        NA        NA  0.81772  0.70257  0.93287       NA       NA  0.1939   0.10634   0.28145      NA      NA  0.24757  0.15608  0.33906       NA       NA  0.23807  0.15083  0.32531      NA      NA  0.23983  0.14956  0.32658       NA       NA  0.019377        NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >75.0       >75.0      NA         0.05  CTS       50399 0.0045437  0.0039932  0.0051699         NA        NA 0.0027977  0.0023729  0.0032982         NA        NA 0.9929  0.99212 0.99359      NA      NA  0.61572        NA        NA  0.026201  0.024842  0.027632         NA       NA 0.99731  0.99682  0.99773       NA       NA 0.0026909  0.0022749  0.0031826        NA       NA  0.95745  0.95565  0.95917      NA      NA  0.016484  0.015408  0.017633        NA      NA  0.014749        NA      NA  0.02351     0.0015101   0.04551      NA     NA  0.02907         NA      NA  9.9721   4.35593  22.82926       NA       NA  2.29979   1.47154   3.12804        NA        NA  0.81772  0.68051  0.95493       NA       NA  0.1939   0.089569  0.29822      NA      NA  0.24757  0.13855  0.35658       NA       NA  0.23807  0.13412  0.34202      NA      NA  0.23983  0.1326   0.34354       NA       NA  0.019377        NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >100.0      >100.0     NA         0.1   CTS       50399 0.001627   0.0013573  0.0019503         NA        NA 0.00083335 0.00064704 0.0010733         NA        NA 0.99754 0.99715 0.99788      NA      NA  0.5122         NA        NA  0         0         5.368e-05        NA       NA 0.99917  0.99893  0.99935       NA       NA 0.00083471 0.00064823 0.0010748        NA       NA  1        0.99995  1            NA      NA  0         0         5.368e-05       NA      NA -0.00055139      NA      NA -0.00083471 -0.016805    0.015136     NA     NA -0.0011034       NA      NA  0       NA        NA             NA       NA NA        NA        NA              NA        NA -1       NA       NA             NA       NA NA       NA        NA            NA      NA NA       NA       NA             NA       NA NA       NA       NA            NA      NA NA       NA       NA             NA       NA NA               NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >100.0      >100.0     NA         0.05  CTS       50399 0.001627   0.0013111  0.0020189         NA        NA 0.00083335 0.00061662 0.0011262         NA        NA 0.99754 0.99707 0.99794      NA      NA  0.5122         NA        NA  0         0         7.6215e-05       NA       NA 0.99917  0.99887  0.99938       NA       NA 0.00083471 0.00061778 0.0011277        NA       NA  1        0.99992  1            NA      NA  0         0         7.6215e-05      NA      NA -0.00055139      NA      NA -0.00083471 -0.02321     0.021541     NA     NA -0.0011034       NA      NA  0       NA        NA             NA       NA NA        NA        NA              NA        NA -1       NA       NA             NA       NA NA       NA        NA            NA      NA NA       NA       NA             NA       NA NA       NA       NA            NA      NA NA       NA       NA             NA       NA NA               NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >150.0      >150.0     NA         0.1   CTS       50399 0.00011905 6.1564e-05 0.0002302         NA        NA 7.9367e-05 3.5632e-05 0.00017677        NA        NA 0.9998  0.99967 0.99988      NA      NA  0.66667        NA        NA  0         0         5.368e-05        NA       NA 0.99992  0.99982  0.99996       NA       NA 7.9376e-05 3.5638e-05 0.00017679       NA       NA  1        0.99995  1            NA      NA  0         0         5.368e-05       NA      NA -4.7622e-05      NA      NA -7.9376e-05 -0.15547     0.15531      NA     NA -9.5249e-05      NA      NA  0       NA        NA             NA       NA NA        NA        NA              NA        NA -1       NA       NA             NA       NA NA       NA        NA            NA      NA NA       NA       NA             NA       NA NA       NA       NA            NA      NA NA       NA       NA             NA       NA NA               NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >150.0      >150.0     NA         0.05  CTS       50399 0.00011905 5.4563e-05 0.00025973        NA        NA 7.9367e-05 3.0865e-05 0.00020407        NA        NA 0.9998  0.99963 0.99989      NA      NA  0.66667        NA        NA  0         0         7.6215e-05       NA       NA 0.99992  0.9998   0.99997       NA       NA 7.9376e-05 3.087e-05  0.00020409       NA       NA  1        0.99992  1            NA      NA  0         0         7.6215e-05      NA      NA -4.7622e-05      NA      NA -7.9376e-05 -0.19525     0.19509      NA     NA -9.5249e-05      NA      NA  0       NA        NA             NA       NA NA        NA        NA              NA        NA -1       NA       NA             NA       NA NA       NA        NA            NA      NA NA       NA       NA             NA       NA NA       NA       NA            NA      NA NA       NA       NA             NA       NA NA               NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >200.0      >200.0     NA         0.1   CTS       50399 0          0          5.368e-05         NA        NA 0          0          5.368e-05         NA        NA 1       0.99995 1            NA      NA NA              NA        NA NA        NA        NA                NA       NA 1        0.99995  1             NA       NA 0          0          5.368e-05        NA       NA NA       NA       NA            NA      NA NA        NA        NA               NA      NA NA               NA      NA NA          NA          NA            NA     NA NA               NA      NA NA       NA        NA             NA       NA NA        NA        NA              NA        NA NA       NA       NA             NA       NA NA       NA        NA            NA      NA NA       NA       NA             NA       NA NA       NA       NA            NA      NA NA       NA       NA             NA       NA NA               NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >200.0      >200.0     NA         0.05  CTS       50399 0          0          7.6215e-05        NA        NA 0          0          7.6215e-05        NA        NA 1       0.99992 1            NA      NA NA              NA        NA NA        NA        NA                NA       NA 1        0.99992  1             NA       NA 0          0          7.6215e-05       NA       NA NA       NA       NA            NA      NA NA        NA        NA               NA      NA NA               NA      NA NA          NA          NA            NA     NA NA               NA      NA NA       NA        NA             NA       NA NA        NA        NA              NA        NA NA       NA       NA             NA       NA NA       NA        NA            NA      NA NA       NA       NA             NA       NA NA       NA       NA            NA      NA NA       NA       NA             NA       NA NA               NA        NA
