VERSION MODEL N_VALID GRID_RES DESC      FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE          OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH    WIDTH    AREA AREA_THRESH CURVATURE CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_50   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F001       CF003  207.76461  141.63439     50.5336     122.06615 -38.09465  37.35298 30.44008  522         397 281.98923   321.31744   198.85988   0.26062       8.21409     10.18414     13.39659     15.80677     18.34578       13.39659    6978.13345      NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F002       CF001  253.80292  132.89051     48.34763    133.57573   1.15223  21.07619  7.01869  107          82 366.63873   463.45651    41.48696   0.144         8.01952     10.40549     14.46566     21.48262     26.67491       14.46566    1727.51092      NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F003       CF003  208.2      122.24444     45.68611    122.175   -57.5073    9.97083  5.82888   30          19 269.97509   313.84381   180.78047   0.15493       5.96858      8.27814     12.45544     15.20044     17.76166       12.45544     358.51939      NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F004       CF004  143.45332   60.3603      30.21507    105.98833  23.60947 204.02465 70.28784 2621        2077 195.43184   210.50511   143.13493   0.63645       7.36746     11.14657     18.17556     30.16001     52.64521       18.17556   65739.15781      NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F005       CF000  152.5       38.5         24.75       108.25     12.55742   5.53265  3.58049   13           6 175.9001    229.57124    54.5809    0.071429      5.92411      6.57804      9.63222     12.12097     15.58566        9.63222     131.68324      NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F006       CF004  170.37624   28.32673     22.20668    112.71906  17.23354  14.26027  9.55105   76          58 193.93985   252.87227    59.26341   0.2           9.00632     10.35939     12.93468     14.72886     16.54567       12.93468     976.5645       NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F007       CF002  196.82609    1.80435     15.57609    119.33152  12.8117   10.41628  5.54076   30          25 228.97978   294.7069     65.80927   0.17808       9.50228     10.61316     11.34523     13.27227     20.06956       11.34523     402.68315      NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O001       CO003  214.02799  122.31571     45.70393    123.632     2.85649  35.8556  30.56074  569         439 277.23142   334.20173   161.2664    0.19061       6.12521     10.58611     20.60695     34.625       54.77778       20.60695   14678.64744      NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O002       CO001  245.37209  128.86047     47.34012    131.46802  10.20284   7.24357  6.25939   29          22 310.13657   373.89745   182.21332   0.14706       3.95        12.2         19.98889     28.31667     31.04667       19.98889     542.81459      NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O003       CO004  184.77288   75.45932     33.98983    116.31822   8.06896  50.21436 14.56322  514         425 289.79539   347.44841   -56.65736   0.23512       7.29222     12.42292     20.99028     32.7526      45.66896       20.99028   12797.86821      NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O004       CO000  114.37209   71.72093     33.05523     98.71802 -27.28833   8.05485  5.81896   29          14 151.76971   179.83421    94.45318   0.13433       4.225        6.97778      9.63333     18.06667     37.8            9.63333     471.54654      NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O005       CO004  135.23364   60.31776     30.20444    103.93341  58.79381  12.51711 10.28837   85          50 166.23923   197.21287   103.33376   0.076087      0.61         4.37083     13.7         38.04584     70.57111       13.7        2295.60836      NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O006       CO000  111.09091   61.42424     30.48106     97.89773 -29.13747   7.18835  4.56799   21          15 143.24266   175.92372    75.40205   0.14286       5.54375      9.46667     11.53333     21.85        25.375         11.53333     315.40903      NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O007       CO000   71.14706   61.52941     30.50735     87.91176 -25.34816   6.27857  5.80297   22          15 105.29683   109.55312    89.08284   0.13725       4.59667      9.81944     18.4875      30.33125     37.92709       18.4875      462.31252      NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O008       CO004   99.03012   47.06024     26.89006     94.88253   4.8388   21.43127  8.89937  135          78 137.04294   174.84269    15.90228   0.11184       2.99667      6.18281     13.24154     22.30209     33.45167       13.24154    2293.72134      NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O009       CO000  164.20588   34.76471     23.81618    111.17647  -9.79231   7.23817  5.09723   21          12 189.62936   251.94515    25.66565   0.22222       4.3625       7.625       11.6         16.91667     22.69167       11.6         269.10764      NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O010       CO004  118.67045   29.70455     22.55114     99.79261 -15.81915  13.32546  8.51482   66          54 140.87831   186.1994     12.24273   0.13725       8.68264     11.23333     14.53125     16.88958     19.43299       14.53125     933.40973      NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O011       CO004  150.01918   23.90685     21.10171    107.62979  -2.94526  34.90239 18.28451  306         193 181.77513   235.5797    -26.41496   0.33115       3.75667      7.40833     14.25521     22.9125      40.56361       14.25521    5674.73896      NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O012       CO002  190.01905    4.64762     16.2869     117.62976  -6.99643  21.20905 13.00691  175         131 214.83576   285.96665   -23.20409   0.14005       4.26         9.94861     20.86667     32.67917     42.88278       20.86667    3922.75003      NA            NA               NA         NA       NA                        NA         NA             NA              NA                NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F001_O001 CF003_CO003   NA         NA           NA           NA        NA        NA       NA         NA          NA  NA          NA          NA        NA            NA           NA           NA           NA           NA             NA            NA            20.30866       0                0         40.95114  0.9174                   68       1023            955               0.13027           0.73137                    0.6501   0.81563
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    4        >=10     4       >=10    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F001_O002 CF003_CO001   NA         NA           NA           NA        NA        NA       NA         NA          NA  NA          NA          NA        NA            NA           NA           NA           NA           NA             NA            NA            39.71771      21.58703         21.58458   48.29749  0.055556                  0        551            551               0                 0.56426                    0.6702   0.1391
